unit_id,cycle,setting_1,setting_2,setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
1,1,-0.0007,-0.0004,100.0,518.67,641.82,1589.70,1400.60,14.62,21.61,554.36,2388.06,9046.19,1.30,47.47,521.66,2388.02,8138.62,8.4195,0.03,392,2388,100.00,39.06,23.4190
1,2,0.0019,-0.0003,100.0,518.67,642.15,1591.82,1403.14,14.62,21.61,553.75,2388.04,9044.07,1.30,47.49,522.28,2388.07,8131.49,8.4318,0.03,392,2388,100.00,39.00,23.4236
1,3,-0.0043,0.0003,100.0,518.67,642.35,1587.99,1404.20,14.62,21.61,554.26,2388.08,9052.94,1.30,47.27,522.42,2388.03,8133.23,8.4178,0.03,390,2388,100.00,38.95,23.3442
1,4,0.0007,0.0000,100.0,518.67,642.35,1582.79,1401.87,14.62,21.61,554.45,2388.11,9049.48,1.30,47.13,522.86,2388.08,8133.83,8.3682,0.03,392,2388,100.00,38.88,23.3739
1,5,-0.0019,-0.0002,100.0,518.67,642.37,1582.85,1406.22,14.62,21.61,554.00,2388.06,9055.15,1.30,47.28,522.19,2388.04,8133.80,8.4294,0.03,393,2388,100.00,38.90,23.4044
1,6,-0.0043,-0.0001,100.0,518.67,642.10,1584.47,1398.37,14.62,21.61,554.67,2388.02,9049.68,1.30,47.16,521.68,2388.03,8132.85,8.4108,0.03,391,2388,100.00,38.98,23.3669
1,63,0.0015,0.0002,100.0,518.67,642.60,1592.14,1395.38,14.62,21.61,553.48,2388.06,9049.96,1.30,47.51,521.56,2388.01,8130.73,8.4357,0.03,394,2388,100.00,38.77,23.3436
1,64,0.0017,0.0002,100.0,518.67,642.23,1584.51,1400.11,14.62,21.61,553.88,2388.10,9043.67,1.30,47.45,521.82,2388.04,8128.15,8.4066,0.03,391,2388,100.00,38.93,23.3840
1,65,0.0000,0.0005,100.0,518.67,642.28,1584.72,1403.24,14.62,21.61,553.97,2388.03,9044.01,1.30,47.56,521.54,2388.13,8132.94,8.4406,0.03,392,2388,100.00,38.90,23.3752
1,66,-0.0007,-0.0004,100.0,518.67,642.50,1588.50,1399.52,14.62,21.61,554.00,2388.06,9059.45,1.30,47.14,521.76,2388.05,8128.32,8.3911,0.03,391,2388,100.00,38.95,23.3152
1,67,0.0016,-0.0004,100.0,518.67,642.33,1590.22,1403.02,14.62,21.61,554.31,2388.10,9050.24,1.30,47.39,522.64,2388.08,8134.07,8.3925,0.03,393,2388,100.00,38.97,23.2910
1,68,-0.0018,0.0000,100.0,518.67,642.51,1582.06,1404.42,14.62,21.61,554.04,2388.10,9051.78,1.30,47.36,521.72,2388.07,8132.39,8.4242,0.03,392,2388,100.00,38.95,23.3174
1,69,-0.0022,0.0005,100.0,518.67,642.44,1590.70,1401.24,14.62,21.61,554.65,2388.07,9050.59,1.30,47.41,522.22,2388.10,8129.13,8.4292,0.03,392,2388,100.00,39.00,23.3742
